"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BBY","Best Buy Co., Inc.","51.82","15929999310.46","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/bby",
"BGFV","Big 5 Sporting Goods Corporation","13.3","294645885.8","n/a","2002","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/bgfv",
"BIG","Big Lots, Inc.","46.64","2088834058.08","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/big",
"BH","Biglari Holdings Inc.","389.94","806245013.22","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bh",
"BGI","Birks Group Inc.","1.35","24247189.35","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BJRI","BJ&#39;s Restaurants, Inc.","44.35","956113088.6","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bjri",
"BLMN","Bloomin&#39; Brands, Inc.","21.21","2125921610.82","n/a","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/blmn",
"BRG","Bluerock Residential Growth REIT, Inc.","12.99","314245012.98","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"BMCH","BMC Stock Holdings, Inc.","20.85","1394817128.4","n/a","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bmch",
"BOBE","Bob Evans Farms, Inc.","67.46","1334332018.38","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bobe",
"WIFI","Boingo Wireless, Inc.","15.675","611081441.85","n/a","2011","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/wifi",
"BCC","Boise Cascade, L.L.C.","28.9","1113693665.7","n/a","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bcc",
"BOJA","Bojangles&#39;, Inc.","17.5","640436440","n/a","2015","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/boja",
"BOOT","Boot Barn Holdings, Inc.","8.95","237575172.4","n/a","2014","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","36.37","5453808322.19","n/a","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"BXP","Boston Properties, Inc.","120.89","18599813107.26","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxp",
"BYD","Boyd Gaming Corporation","25.38","2873880899.64","n/a","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/byd",
"BDN","Brandywine Realty Trust","17.16","3008618801.76","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bdn",
"BBRG","Bravo Brio Restaurant Group, Inc.","4.65","70493716.35","n/a","2010","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bbrg",
"BPI","Bridgepoint Education, Inc.","15.03","432669752.28","n/a","2009","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/bpi",
"EAT","Brinker International, Inc.","41.65","2037971443.55","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/eat",
"BRX","Brixmor Property Group Inc.","17.76","5414903001.12","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"BAM","Brookfield Asset Management Inc","38.41","37968992550.61","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/bam",
"BOXC","Brookfield Canada Office Properties","23.8601","630687414.0523","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/boxc",
"BIP","Brookfield Infrastructure Partners LP","40.47","10835889526.14","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/bip",
"BRT","BRT Apartments Corp.","7.99","112184074.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"BKE","Buckle, Inc. (The)","17.4","849967815","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/bke",
"BWLD","Buffalo Wild Wings, Inc.","157.6","2543706394.4","n/a","2003","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bwld",
"BBW","Build-A-Bear Workshop, Inc.","10.75","172021725.75","n/a","2004","Consumer Services","Recreational Products/Toys","http://www.nasdaq.com/symbol/bbw",
"BLDR","Builders FirstSource, Inc.","14.69","1650617185.49","n/a","2005","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bldr",
"BURL","Burlington Stores, Inc.","94.5","6639459907.5","n/a","2013","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/burl",
"CAB","Cabela&#39;s Inc","54.89","3782397335.42","n/a","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","673.75","3856742408.75","n/a","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CACQ","Caesars Acquisition Company","17.75","2464905171.75","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cacq",
"CZR","Caesars Entertainment Corporation","11.35","1687987560.85","n/a","2012","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/czr",
"PRSS","CafePress Inc.","2.55","42548448.3","n/a","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/prss",
"CALX","Calix, Inc","6.9","344142675","n/a","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"ABCD","Cambium Learning Group, Inc.","5.03","232439644.95","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"CPT","Camden Property Trust","81.13","7110369336.14","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
"CPHC","Canterbury Park Holding Corporation","10.4","45332404","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/cphc",
"CPLA","Capella Education Company","92.4","1070812512","n/a","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cpla",
"BXMT","Capital Trust, Inc.","30.45","2887499780.55","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxmt",
"CMO","Capstead Mortgage Corporation","10.48","1006738825.2","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmo",
"CCP","Care Capital Properties, Inc.","26.74","2247487828.18","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ccp",
"CRCM","Care.com, Inc.","15.61","458996845.86","n/a","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/crcm",
"CECO","Career Education Corporation","10.1","697189041.8","n/a","1998","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ceco",
"CTRE","CareTrust REIT, Inc.","18.06","1310270572.38","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctre",
"CCL","Carnival Corporation","61.2","44232504285.6","n/a","1987","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/ccl",
"CUK","Carnival Corporation","61.12","44412037793.28","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/cuk",
"CSV","Carriage Services, Inc.","26.17","437126695.67","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/csv",
"TAST","Carrols Restaurant Group, Inc.","13.35","483301773","n/a","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tast",
"CRTN","Cartesian, Inc.","0.4901","4404001.8425","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/crtn",
"CTT           ","CatchMark Timber Trust, Inc.","11.48","445544689.24","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctt",
"CATO","Cato Corporation (The)","21.26","562445737.1","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cato",
"CBL","CBL & Associates Properties, Inc.","7.45","1274665974.8","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cbl",
"CBS","CBS Corporation","61.2","24844549305.6","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cbs",
"CDW","CDW Corporation","59.57","9357770582.65","n/a","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cdw",
"FUN","Cedar Fair, L.P.","70.15","3944930566.9","n/a","1987","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/fun",
"CDR","Cedar Realty Trust, Inc.","5.09","435514285.52","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdr",
"CNCO","Cencosud S.A.","8.52","8129604926.64","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cnco",
"CETV","Central European Media Enterprises Ltd.","4.1","592127051.2","n/a","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cetv",
"CNTY","Century Casinos, Inc.","8.19","200337784.92","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cnty",
"GIB","CGI Group, Inc.","49.26","12972068450.58","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/gib",
"HOTR","Chanticleer Holdings, Inc.","0.3598","8561279.8096","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotr",
"HOTRW","Chanticleer Holdings, Inc.","0.1135","0","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/hotrw",
"CHTR","Charter Communications, Inc.","320.01","85614817139.43","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/chtr",
"CLDT","Chatham Lodging Trust (REIT)","18.85","723934513.9","n/a","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cldt",
"CHGG","Chegg, Inc.","11.65","1100356305.25","n/a","2013","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/chgg",
"CHMI","Cherry Hill Mortgage Investment Corporation","17.79","225939190.92","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chmi",
"CHSP","Chesapeake Lodging Trust","22.99","1381601936.22","n/a","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chsp",
"CHS","Chico&#39;s FAS, Inc.","12.18","1577172865.38","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/chs",
"PLCE","Children&#39;s Place, Inc. (The)","114.15","2002018633.5","n/a","1997","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/plce",
"CIM","Chimera Investment Corporation","17.88","3357497263.32","n/a","2007","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cim",
"CALI","China Auto Logistics Inc.","2.66","10731488.04","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"DL","China Distance Education Holdings Limited","10.28","338866764.04","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dl",
"HTHT","China Lodging Group, Limited","76.74","2482976648.22","32355703","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"COE","China Online Education Group","17.76","356186408.16","n/a","2016","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/coe",
"CMG","Chipotle Mexican Grill, Inc.","496.14","14220876200.34","n/a","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cmg",
"CHH","Choice Hotels International, Inc.","62.6","3533659761.4","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/chh",
"CBK","Christopher & Banks Corporation","1.15","43269109.95","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cbk",
"CHSCL","CHS Inc","28.836","0","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","27.54","523260000","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscm",
"CHSCN","CHS Inc","28.59","480312000","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscn",
"CHSCO","CHS Inc","28.92","327350541","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chsco",
"CHSCP","CHS Inc","30.58","221162449.64","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscp",
"CHDN","Churchill Downs, Incorporated","167.05","2753757775.6","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/chdn",
"CHUY","Chuy&#39;s Holdings, Inc.","29.1","491649185.1","n/a","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/chuy",
"CMCT","CIM Commercial Trust Corporation","15.85","1332162083.85","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmct",
"CIDM","Cinedigm Corp","1.61","18032001.61","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/cidm",
"CNK","Cinemark Holdings Inc","41.72","4857144739.16","n/a","2007","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/cnk",
"CTRN","Citi Trends, Inc.","17.9","267459974.2","n/a","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/ctrn",
"CIO","City Office REIT, Inc.","12.18","368535716.64","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cio",
"CVEO","Civeo Corporation","2.38","314180848.8","n/a","2014","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cveo",
"CCO","Clear Channel Outdoor Holdings, Inc.","4.1","1486289204.2","n/a","2005","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cco",
"CLPR","Clipper Realty Inc.","10.89","193980901.95","n/a","2017","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/clpr",
"MYCC","ClubCorp Holdings, Inc.","13.05","857798906.85","n/a","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mycc",
"CCOI","Cogent Communications Holdings, Inc.","40.075","1823362446.325","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccoi",
"COGT","Cogint, Inc.","5.65","309517350.8","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cogt",
"CLNS","Colony NorthStar, Inc.","13.44","7410488117.76","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/clns",
"SFR","Colony Starwood Homes","33.7","3815914322.3","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/sfr",
"CXP","Columbia Property Trust, Inc.","21.99","2692687946.34","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cxp",
"CCV","Comcast Corporation","25.84","0","n/a","2012","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccv",
"CCZ","Comcast Corporation","50.1","0","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccz",
"CMCSA","Comcast Corporation","38.82","184121585654.58","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cmcsa",
"CHCT","Community Healthcare Trust Incorporated","24.61","322520276.33","n/a","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chct",
"CBD","Companhia Brasileira de Distribuicao","24.63","6538504598.01","n/a","1997","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/cbd",
"CDOR","Condor Hospitality Trust, Inc.","10.35","119446814.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdor",
"CONN","Conn&#39;s, Inc.","16.85","522014617.6","n/a","2003","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/conn",
"TCS","Container Store (The)","3.88","188553224.96","n/a","2013","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/tcs",
"CXW","CoreCivic, Inc.","34.19","4039536123.22","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cxw",
"CORR","CorEnergy Infrastructure Trust, Inc.","34.52","410581846.56","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/corr",
"COR","CoreSite Realty Corporation","99.24","3393568069.08","n/a","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cor",
"OFC","Corporate Office Properties Trust","32.47","3228602822.7","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ofc",
