Date,Rm-Rf,SMB,HML,RF
1983-09-01,-3.4,-2.34,11.15,2.2770667424
1983-12-01,-2.77,-1.78,5.64,2.206016836
1984-03-01,-5.78,-2.09,11.6,2.2161663908
1984-06-01,-4.25,-1.12,-1.41,2.358290385
1984-09-01,6.71,-2.62,4.15,2.5310545316
1984-12-01,-0.79,-2.78,3.84,2.38841872
1985-03-01,8.19,2.4,-0.28,1.861419374
1985-06-01,5.48,-2.06,3.38,1.942368136
1985-09-01,-6.2,0.68,1.36,1.78045046
1985-12-01,15.22,-1.9,-4.05,1.9221807725
1986-03-01,13.03,0.02,-0.09,1.699525808
1986-06-01,4.39,0.08,-1.63,1.5378132496
1986-09-01,-9.22,-4.53,10.72,1.436812764
1986-12-01,2.65,-4.12,-1.24,1.3459677906
1987-03-01,19.34,2.65,-8.15,1.3258094882
1987-06-01,2.06,-4.26,0.58,1.3056160256
1987-09-01,4.74,-0.62,-0.37,1.386356729
1987-12-01,-24.32,-6.08,3.25,1.34581319
1988-03-01,6.67,10.02,4.43,1.1946398696
1988-06-01,5.12,0.16,2.59,1.4671104954
1988-09-01,-1.42,-1.31,3.57,1.7298476558
1988-12-01,0.43,-2.34,1.3,1.8209329051
1989-03-01,5.26,1.55,1.73,1.8411494785
1989-06-01,6.61,-1.64,-0.55,2.1856965803
1989-09-01,7.94,-3.09,-3.91,2.10457367
1989-12-01,-1.48,-6.57,-1.91,1.9930776212
1990-03-01,-5.06,0.76,-1.48,1.7905657936
1990-06-01,3.48,-1.7,-8.82,2.0133525596
1990-09-01,-17.38,-9.08,1.79,1.952554928
1990-12-01,7.06,-4.71,-4.82,1.861399256
1991-03-01,15.25,13.44,-4.14,1.4469069824
1991-06-01,-1.69,0.09,2.24,1.4267014622
1991-09-01,4.98,2.76,-3.56,1.4166343684
1991-12-01,7.57,-1.86,-6.76,1.1947222244
1992-03-01,-2.31,7.74,15.46,0.9630632368
1992-06-01,-0.54,-8.58,8.29,0.9228188672
1992-09-01,2.54,0.38,-2.3,0.8322900956
1992-12-01,6.62,8.19,-1.67,0.7418184812
1993-03-01,3.84,-0.56,12.7,0.701632265
1993-06-01,-0.12,0.73,1.53,0.71167932
1993-09-01,3.13,5.01,-0.02,0.75187556
1993-12-01,1.16,1.58,1.03,0.701632265
1994-03-01,-4.53,2.55,1.07,0.7317684175
1994-06-01,-1.79,-2.79,5.23,0.8926375947
1994-09-01,4.46,3.11,-4.5,1.0234448332
1994-12-01,-1.97,-2.2,-2.39,1.1947121864
1995-03-01,7.9,-3.43,0.38,1.285459728
1995-06-01,7.98,0.23,-0.05,1.4569931672
1995-09-01,7.71,2.51,-3.0,1.3560800945
1995-12-01,3.47,-4.63,-0.28,1.3863446726
1996-03-01,4.4,1.11,-1.0,1.2148815403
1996-06-01,3.41,3.8,-4.09,1.285459728
1996-09-01,1.46,-2.37,-0.14,1.305637118
1996-12-01,5.58,-4.03,5.29,1.2955479212
1997-03-01,-0.76,-4.55,5.95,1.2753745465
1997-06-01,15.65,2.25,-5.72,1.2955187959
1997-09-01,8.51,8.48,0.16,1.2854667572
1997-12-01,0.44,-7.7,7.07,1.2955338624
1998-03-01,12.21,-1.42,-3.06,1.2148815403
1998-06-01,0.79,-7.2,-0.52,1.245130052
1998-09-01,-13.04,-10.83,1.46,1.295545912
1998-12-01,20.65,0.18,-13.97,1.0133897696
1999-03-01,2.73,-8.09,-5.97,1.1342402675
1999-06-01,6.96,8.55,8.0,1.114103032
1999-09-01,-7.41,3.62,-5.22,1.1644907798
1999-12-01,17.48,7.59,-32.01,1.1947101776
2000-03-01,3.26,6.22,-13.83,1.3157192861
2000-06-01,-6.33,-2.01,8.75,1.3661492
2000-09-01,-1.43,-3.89,11.99,1.49741024
2000-12-01,-11.92,-5.47,13.7,1.57822028
2001-03-01,-13.87,4.91,20.59,1.3459246184
2001-06-01,6.81,14.61,-3.28,0.9932394944
2001-09-01,-16.97,-6.35,3.09,0.892640604
2001-12-01,12.01,19.1,2.77,0.540959561
2002-03-01,0.43,4.49,4.11,0.4005332366
2002-06-01,-13.32,4.55,0.94,0.420587273
2002-09-01,-17.54,-3.3,-5.53,0.430616294
2002-12-01,7.75,0.01,7.2,0.3704541848
2003-03-01,-3.24,0.04,-4.54,0.29028009
2003-06-01,16.34,10.93,11.78,0.29028009
2003-09-01,3.39,8.35,0.04,0.2201610392
2003-12-01,12.14,2.93,6.09,0.2201610392
2004-03-01,2.1,3.45,2.33,0.2201590378
2004-06-01,1.21,0.08,1.93,0.2201600384
2004-09-01,-2.43,-2.34,4.56,0.320341121
2004-12-01,9.69,4.93,2.85,0.420581264
2005-03-01,-2.77,-3.47,3.1,0.5309285376
2005-06-01,1.56,1.4,-0.3,0.6815401592
2005-09-01,3.28,1.08,0.8,0.832288088
2005-12-01,1.14,-1.31,-0.25,0.9026956784
2006-03-01,4.18,8.42,-1.12,1.063747403
2006-06-01,-3.19,-3.91,5.65,1.194714192
2006-09-01,3.21,-4.47,2.7,1.235048888
2006-12-01,5.89,1.7,2.94,1.235048888
2007-03-01,0.18,0.71,-0.36,1.2552051896
2007-06-01,4.84,-1.18,-2.4,1.255211216
2007-09-01,0.12,-5.02,-9.24,1.144309376
2007-12-01,-4.12,-1.55,-9.11,0.9328729376
2008-03-01,-10.16,-0.42,2.64,0.5108514641
2008-06-01,-2.33,0.77,-13.62,0.5309365508
2008-09-01,-8.87,5.69,11.34,0.4306152925
2008-12-01,-22.19,-4.15,-11.59,0.110024
2009-03-01,-9.76,0.74,-9.52,0.030002
2009-06-01,16.55,12.01,23.85,0.020001
2009-09-01,15.86,4.75,12.96,0.0300030001
2009-12-01,5.89,-2.02,-2.07,0.01
2010-03-01,6.05,3.54,6.1,0.01
2010-06-01,-11.25,2.23,-1.18,0.0300030001
2010-09-01,11.86,-0.15,-3.55,0.0300030001
2010-12-01,11.75,5.21,2.73,0.0300030001
2011-03-01,6.22,1.69,-1.05,0.0300030001
2011-06-01,-0.08,-1.92,-3.34,0.0
2011-09-01,-15.03,-6.03,-4.89,0.01
2011-12-01,11.97,2.87,2.23,0.0
2012-03-01,12.95,0.32,3.02,0.0
2012-06-01,-3.42,0.09,-3.32,0.01
2012-09-01,6.25,-1.43,2.03,0.020001
2012-12-01,0.08,0.75,5.62,0.0300030001
2013-03-01,11.34,1.27,0.74,0.0
2013-06-01,3.08,1.53,0.36,0.0
2013-09-01,6.67,3.81,-3.3,0.0
2013-12-01,10.39,-1.04,0.91,0.0
2014-03-01,1.61,0.07,2.0,0.0
2014-06-01,4.78,-3.14,1.86,0.0
2014-09-01,0.0,-7.0,-2.91,0.0
2014-12-01,4.58,3.1,-3.17,0.0
2015-03-01,1.8,2.6,-6.17,0.0
2015-06-01,0.38,0.97,-0.76,0.0
2015-09-01,-7.79,-6.17,-1.3,0.0
2015-12-01,5.9,-2.41,-4.02,0.01
2016-03-01,0.56,-2.74,4.51,0.0500080004
2016-06-01,2.86,2.0,1.99,0.0400050002
2016-09-01,4.75,5.86,1.55,0.0600120008
2016-12-01,4.48,0.55,17.53,0.0600110006
