"Data" "FTSE100" "FTSE Mid" "FTSE Small"
"2011-03-29" 5932.2 11636.4 3246.32
"2011-03-28" 5904.5 11637.4 3258.54
"2011-03-25" 5900.8 11629.3 3238.04
"2011-03-24" 5880.9 11605.5 3215.99
"2011-03-23" 5795.9 11447.3 3205.21
"2011-03-22" 5762.7 11441.6 3173.01
"2011-03-21" 5786.1 11511.2 3166.31
"2011-03-18" 5718.1 11345.8 3141.8
"2011-03-17" 5696.1 11236.4 3127.87
"2011-03-16" 5598.2 11033.1 3110.7
"2011-03-15" 5695.3 11151.2 3112.95
"2011-03-14" 5775.2 11349.7 3189.36
"2011-03-11" 5828.7 11409.5 3221.63
"2011-03-10" 5845.3 11515.6 3230.77
"2011-03-09" 5937.3 11730.2 3267.86
"2011-03-08" 5974.8 11743.5 3276.13
"2011-03-07" 5973.8 11747.9 3274.61
"2011-03-04" 5990.4 11723 3273.9
"2011-03-03" 6005.1 11652.4 3248.35
"2011-03-02" 5914.9 11543.4 3235.16
"2011-03-01" 5935.8 11574.1 3252.5
"2011-02-28" 5994 11621.3 3239.14
"2011-02-25" 6001.2 11609 3237.16
"2011-02-24" 5920 11409.7 3218.37
"2011-02-23" 5923.5 11521.9 3242.7
"2011-02-22" 5996.8 11652.4 3262.76
"2011-02-21" 6014.8 11727.7 3285.13
"2011-02-18" 6083 11828.3 3297.35
"2011-02-17" 6087.4 11827.8 3295.19
"2011-02-16" 6085.3 11807.3 3290.61
"2011-02-15" 6037.1 11749.7 3289.24
"2011-02-14" 6060.1 11833.9 3290.76
"2011-02-11" 6062.9 11797.8 3282.69
"2011-02-10" 6020 11721.6 3277.3
"2011-02-09" 6052.3 11796.6 3293.58
"2011-02-08" 6091.3 11830.5 3309.95
"2011-02-07" 6051 11811.1 3301.39
"2011-02-04" 5997.4 11666.5 3273.42
"2011-02-03" 5983.3 11575.8 3269.81
"2011-02-02" 6000.1 11606.7 3272.46
"2011-02-01" 5957.8 11608.5 3271.84
"2011-01-31" 5862.9 11471.5 3257.98
"2011-01-28" 5881.4 11546 3268.63
"2011-01-27" 5965.1 11617.4 3281.08
"2011-01-26" 5969.2 11612.3 3282.94
"2011-01-25" 5917.7 11501.6 3273.23
"2011-01-24" 5943.9 11573.4 3282.08
"2011-01-21" 5896.3 11532.7 3278.06
"2011-01-20" 5867.9 11505 3275.02
"2011-01-19" 5976.7 11728.2 3291.94
"2011-01-18" 6056.4 11830.3 3302.49
"2011-01-17" 5985.7 11741.5 3293.66
"2011-01-14" 6002.1 11742.4 3287.32
"2011-01-13" 6023.9 11767 3289.39
"2011-01-12" 6050.7 11765.3 3285.61
"2011-01-11" 6014 11735.3 3278.34
"2011-01-10" 5956.3 11575.3 3240.1
"2011-01-07" 5984.3 11674.3 3243.28
"2011-01-06" 6019.5 11716.9 3242.19
"2011-01-05" 6043.9 11741.6 3258.58
"2011-01-04" 6013.9 11722.6 3249.07
